Лондон;Биг-Бен;Лондон, SW1A 0AA, Westminster;В Вестминстерском дворце проходят заседания палаты лордов и палаты общин, в многокилометровых коридорах дворца легко потерять нужное направление, но самая знаменитая часть дворца — башня с часами — известна, без преувеличения сказать, всему миру и является одним из самых ярких архитектурных символом города. из самых ярких архитектурных символом города.;https://static.tonkosti.ru/tonkosti/table_img/g83/5b5b/55416801.jpg;https://tonkosti.ru/%D0%91%D0%B8%D0%B3-%D0%91%D0%B5%D0%BD
Лондон;Британский музей в Лондоне;Лондон, WC1B 3DG, Great Russell Street;Британский музей — центральный историко-археологический музей Великобритании и один из крупнейших музеев мира. Он был основан в 1753 году с разрешения британского парламента. Его экспозиция занимает 94 галереи, общая протяжённость которых составляет 4 км. общая протяжённость которых составляет 4 км.;https://static.tonkosti.ru/tonkosti/table_img/g83/1717/55416418.jpg;https://tonkosti.ru/%D0%91%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D1%83%D0%B7%D0%B5%D0%B9_%D0%B2_%D0%9B%D0%BE%D0%BD%D0%B4%D0%BE%D0%BD%D0%B5
Лондон;Букингемский дворец;Лондон, Road Westminster, SW1A 1AA;Одним из немногих в современном мире действующих королевских дворцов является Букингемский дворец. Это официальная резиденция Ее Величества королевы в Лондоне. Площадь дворца с садом составляет около 20 га, здесь есть свое отделение полиции, два почтовых офиса, госпиталь, бассейн, бар — по сути дела, это целый город. бассейн, бар — по сути дела, это целый город.;https://static.tonkosti.ru/tonkosti/table_img/g83/d2d2/55416873.jpg;https://tonkosti.ru/%D0%91%D1%83%D0%BA%D0%B8%D0%BD%D0%B3%D0%B5%D0%BC%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D0%B2%D0%BE%D1%80%D0%B5%D1%86
Лондон;Вестминстер;Лондон, City of Westminster;Вестминстер сегодня, как и много лет назад, — политический центр Великобритании, место, где решаются самые важные вопросы о жизни всей страны. Он был основан в 7 веке вокруг существовавшего тогда монастыря. Основная часть туристов в первую очередь хочет увидеть Букингемский дворец, Парламент и Трафальгарскую площадь. дворец, Парламент и Трафальгарскую площадь.;https://static.tonkosti.ru/tonkosti/table_img/g83/e2e2/55416529.jpg;https://tonkosti.ru/%D0%92%D0%B5%D1%81%D1%82%D0%BC%D0%B8%D0%BD%D1%81%D1%82%D0%B5%D1%80
Лондон;Вестминстерское аббатство;Лондон, SW1P 3PA, 20 Deans Yd;Вестминстерское аббатство является не только культовым сооружением, но и настоящей сокровищницей, среди богатств которой шедевры живописи, монументального и прикладного искусства, изумительные ткани, гобелены и редкой красоты церковная утварь. гобелены и редкой красоты церковная утварь.;https://static.tonkosti.ru/tonkosti/table_img/g83/d4d4/55416879.jpg;https://tonkosti.ru/%D0%92%D0%B5%D1%81%D1%82%D0%BC%D0%B8%D0%BD%D1%81%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%BE%D0%B5_%D0%B0%D0%B1%D0%B1%D0%B0%D1%82%D1%81%D1%82%D0%B2%D0%BE
Лондон;Гайд-парк;Лондон, W2 2UH, Westminster, Park Ln;Гайд-парк — один из самых любимых лондонцами парков, несмотря на то, что здесь всегда многолюдно и сюда же стремятся все туристы, дабы воочию убедиться в существовании своеобразного «оплота свободы слова». существовании своеобразного «оплота свободы слова».;https://static.tonkosti.ru/tonkosti/table_img/g83/c7c7/55416894.jpg;https://tonkosti.ru/%D0%93%D0%B0%D0%B9%D0%B4-%D0%BF%D0%B0%D1%80%D0%BA
Лондон;Лондонский глаз;Лондон, SE1 7PB, Westminster Bridge Road, County Hall, Riverside Building;"«Лондонский глаз» — колесо обозрения, построенное в столице Англии к празднованию миллениума. Второе название этого аттракциона — «Колесо Тысячелетия». 
К моменту постройки «Лондонский глаз» был самым высоким колесом обозрения во всём мире. Его высота составляет 135 метров от основания. Его высота составляет 135 метров от основания.";https://static.tonkosti.ru/tonkosti/table_img/g83/6464/55417211.jpg;https://tonkosti.ru/%D0%9B%D0%BE%D0%BD%D0%B4%D0%BE%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%B3%D0%BB%D0%B0%D0%B7
Лондон;Музей мадам Тюссо;Лондон, NW1 5LR, Marylebone Rd;В наши дни Музей мадам Тюссо — самый большой и известный в мире музей восковых фигур, филиалы музея разбросаны по 10 городам мира. Звезды кино и шоу-бизнеса, президенты и премьер-министры различных стран, короли и королевы — кого только нет в экспозиции! короли и королевы — кого только нет в экспозиции!;https://static.tonkosti.ru/tonkosti/table_img/g83/9f9f/55417348.jpg;https://tonkosti.ru/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D0%BC%D0%B0%D0%B4%D0%B0%D0%BC_%D0%A2%D1%8E%D1%81%D1%81%D0%BE
Лондон;Музей Шерлока Холмса в Лондоне;Лондон, St. Baker, 221B;Самый известный адрес в Лондоне, где жили, по рассказам автора, Шерлок Холмс со своим другом доктором Ватсоном — Бейкер-стрит, 221b, в районе Вестминстер. Хотя при создании произведений этого адреса в Лондоне еще не было, ведь Бейкер-стрит в те времена оканчивалась на сотом номере домов. те времена оканчивалась на сотом номере домов.;https://static.tonkosti.ru/tonkosti/table_img/g83/c8c8/55421175.jpg;https://tonkosti.ru/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D0%A8%D0%B5%D1%80%D0%BB%D0%BE%D0%BA%D0%B0_%D0%A5%D0%BE%D0%BB%D0%BC%D1%81%D0%B0_%D0%B2_%D0%9B%D0%BE%D0%BD%D0%B4%D0%BE%D0%BD%D0%B5
Лондон;Национальная галерея в Лондоне;Лондон, WC2N 5DN, Trafalgar Square;Лондонская национальная галерея (National Gallery) — одна из крупнейших картинных галерей столицы Великобритании. В ней выставлено более двух тысяч шедевров живописи Западной Европы за период с XII по XX вв. живописи Западной Европы за период с XII по XX вв.;https://static.tonkosti.ru/tonkosti/table_img/g83/8080/55418381.jpg;https://tonkosti.ru/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%B3%D0%B0%D0%BB%D0%B5%D1%80%D0%B5%D1%8F_%D0%B2_%D0%9B%D0%BE%D0%BD%D0%B4%D0%BE%D0%BD%D0%B5
